Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC,Full Link
spotify:track:1LM6EReMkAxuDXDF26ekl2,Get By,spotify:artist:0lEssBAxQl2In4RpaB1C2Y,Talib Kweli,spotify:album:0apVddbk7Juec0DV4LNiBg,Quality,spotify:artist:0lEssBAxQl2In4RpaB1C2Y,Talib Kweli,https://i.scdn.co/image/ab67616d0000b273f99af87e949e0b53c5b26da6,1,3,227426,https://p.scdn.co/mp3-preview/61c5324e3d906a6e860b1fb7c6b1e33bb17d0ad2?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,57,USRW50200462,https://open.spotify.com/track/1LM6EReMkAxuDXDF26ekl2
spotify:track:73mlvsfJM2qwlDUJxeaatI,Daft Punk Is Playing at My House,spotify:artist:066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,spotify:album:6aSk2vxoY3xtz7cXKuY9EL,LCD Soundsystem,spotify:artist:066X20Nz7iquqkkCW6Jxy6,LCD Soundsystem,https://i.scdn.co/image/ab67616d0000b27375ec666254c50336a378ad01,1,1,314556,https://p.scdn.co/mp3-preview/b7bbe3b6c1b55e84a1a92e4fc594eca7334d54af?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,60,US4GE0400025,https://open.spotify.com/track/73mlvsfJM2qwlDUJxeaatI
spotify:track:13pyGLYmBjYgvOMIEivX2K,I Don't Feel Like Dancin',spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,spotify:album:3YIdZQ7UbWoTxPgznAYVOC,Ta Dah,spotify:artist:3Y10boYzeuFCJ4Qgp53w6o,Scissor Sisters,https://i.scdn.co/image/ab67616d0000b273ab41b12bbc0f61ebdfb2dfaf,1,1,288360,https://p.scdn.co/mp3-preview/1e7718f33c5e7d55fbfba7a96c68aef88a308bf8?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,59,GBUM70602587,https://open.spotify.com/track/13pyGLYmBjYgvOMIEivX2K
spotify:track:6EIVLz5xM1xE29r0OmIkWt,Falling Slowly,"spotify:artist:3Caot8EtHX6wLpNF2wRzS0, spotify:artist:4SklVMGMsWTq7cJd9MixUx","Glen Hansard, Markéta Irglová",spotify:album:4BUG3kfPOB6DWVKKDY2icE,Music From The Motion Picture Once,"spotify:artist:3Caot8EtHX6wLpNF2wRzS0, spotify:artist:4SklVMGMsWTq7cJd9MixUx","Glen Hansard, Markéta Irglová",https://i.scdn.co/image/ab67616d0000b273d580d7902a74ec0468d99373,1,1,244133,https://p.scdn.co/mp3-preview/c0db850cca50a4788b5804f6a56d8ce771900e1e?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,64,USLIC0700662,https://open.spotify.com/track/6EIVLz5xM1xE29r0OmIkWt
spotify:track:47i0RQi76b6UUCIBDgu2TR,Supernatural Superserious,spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,spotify:album:6l1ZSwtU3tTfRrk4Xreiew,Accelerate,spotify:artist:4KWTAlx2RvbpseOGMEmROg,R.E.M.,https://i.scdn.co/image/ab67616d0000b2734557fdc6d8501806344555ad,1,3,203880,https://p.scdn.co/mp3-preview/f483745b7849b57669fac244df289afa96af9624?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,44,USWB10705619,https://open.spotify.com/track/47i0RQi76b6UUCIBDgu2TR
spotify:track:61YzdCCBPM5Pc7lIiD5i8C,Bang Bang,"spotify:artist:7pGyQZx9thVa8GxMBeXscB, spotify:artist:4bYPcJP5jwMhSivRcqie2n","K'NAAN, Adam Levine",spotify:album:4KJCTmDLyr3AYJAN8dBaKo,Troubadour,spotify:artist:7pGyQZx9thVa8GxMBeXscB,K'NAAN,https://i.scdn.co/image/ab67616d0000b273a3a8f20705f6f1d9adf84551,1,5,186533,https://p.scdn.co/mp3-preview/e20044342369b5322660f57f9d516b8a04537e95?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,69,USUM70951244,https://open.spotify.com/track/61YzdCCBPM5Pc7lIiD5i8C
spotify:track:5noQJkpVfHt2D4df2GXieV,The Reeling,spotify:artist:7gjAu1qr5C2grXeQFFOGeh,Passion Pit,spotify:album:6H51jH1SuzV6ca1VxW2Tmv,Manners,spotify:artist:7gjAu1qr5C2grXeQFFOGeh,Passion Pit,https://i.scdn.co/image/ab67616d0000b2733437e8bbed340ca556c42c04,1,4,287906,https://p.scdn.co/mp3-preview/ae6bdfc06438ea4281675c8289d8d68797511b18?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,50,USSM10901009,https://open.spotify.com/track/5noQJkpVfHt2D4df2GXieV
spotify:track:2Bz2Q1JNwwPj40T9AvzE7f,Make Some Noise,spotify:artist:03r4iKL2g2442PT9n2UKsx,Beastie Boys,spotify:album:1vQYbqslni0jVfvaVK2lvx,Hot Sauce Committee (Pt. 2),spotify:artist:03r4iKL2g2442PT9n2UKsx,Beastie Boys,https://i.scdn.co/image/ab67616d0000b273916f2e034e3c486d61b720de,1,1,210360,https://p.scdn.co/mp3-preview/3c2aba78ba64c13a824393de057e0af770a0edc5?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,52,USCA21100528,https://open.spotify.com/track/2Bz2Q1JNwwPj40T9AvzE7f
spotify:track:1CNfl0M6gWcvW9QVpdcn93,Don't Run,spotify:artist:33rvAGSgPehaV3bvTasx5i,Bad Veins,spotify:album:3xe0SYl4sjpbvdioR7aapB,The Mess Remade,spotify:artist:33rvAGSgPehaV3bvTasx5i,Bad Veins,https://i.scdn.co/image/ab67616d0000b273000bd44e366a43c2aa469638,1,2,225995,https://p.scdn.co/mp3-preview/470c44c2aa47a75954142bc2b25676643a6bd962?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,32,QM7GD1400030,https://open.spotify.com/track/1CNfl0M6gWcvW9QVpdcn93
spotify:track:0bC6dZwX9b1Klj2dfSCcRO,Global Concepts - Radio Edit,spotify:artist:42crL07E4WPfVovyUtMpvC,Robert DeLong,spotify:album:0GHk49c5oAhXNS9ByNZ1SF,Global Concepts (Remixes),spotify:artist:42crL07E4WPfVovyUtMpvC,Robert DeLong,https://i.scdn.co/image/ab67616d0000b273b71026c5a8bd124a34dbb989,1,5,226653,https://p.scdn.co/mp3-preview/e4f74b22da554f1c81e4545ce1588e4f8e01a728?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,15,USYAH1200408,https://open.spotify.com/track/0bC6dZwX9b1Klj2dfSCcRO
